sep=,
Location,Year,Year production (ton)
World,1900,5400
World,1901,5380
World,1902,5060
World,1903,5220
World,1904,5110
World,1905,5360
World,1906,5130
World,1907,5730
World,1908,6320
World,1909,6600
World,1910,6900
World,1911,7040
World,1912,6980
World,1913,7010
World,1914,5240
World,1915,5730
World,1916,5250
World,1917,5420
World,1918,6140
World,1919,5490
World,1920,5390
World,1921,5330
World,1922,6530
World,1923,7650
World,1924,7450
World,1925,7650
World,1926,7890
World,1927,7900
World,1928,8020
World,1929,8120
World,1930,7740
World,1931,6080
World,1932,5130
World,1933,5340
World,1934,5990
World,1935,6890
World,1936,7920
World,1937,8640
World,1938,8320
World,1939,8300
World,1940,8570
World,1941,8140
World,1942,7780
World,1943,6380
World,1944,5740
World,1945,5040
World,1946,3970
World,1947,5220
World,1948,5440
World,1949,5570
World,1950,6320
World,1951,6210
World,1952,6700
World,1953,6900
World,1954,6670
World,1955,7000
World,1956,7020
World,1957,7190
World,1958,7430
World,1959,6910
World,1960,7320
World,1961,7370
World,1962,7650
World,1963,7780
World,1964,7730
World,1965,8010
World,1966,8300
World,1967,8030
World,1968,8560
World,1969,9200
World,1970,9360
World,1971,9170
World,1972,9380
World,1973,9700
World,1974,9260
World,1975,9430
World,1976,9840
World,1977,10300
World,1978,10700
World,1979,10800
World,1980,10700
World,1981,11200
World,1982,11500
World,1983,12100
World,1984,13100
World,1985,13100
World,1986,13000
World,1987,14000
World,1988,15500
World,1989,16400
World,1990,16600
World,1991,15600
World,1992,14900
World,1993,14100
World,1994,14000
World,1995,14900
World,1996,15100
World,1997,16500
World,1998,17200
World,1999,17600
World,2000,18100
World,2001,18700
World,2002,18800
World,2003,18800
World,2004,20000
World,2005,20800
World,2006,20100
World,2007,20800
World,2008,21300
World,2009,22300
World,2010,23300
World,2011,23300
World,2012,24300
World,2013,26700
World,2014,28000
World,2015,27600
World,2016,28600
World,2017,26500
World,2018,25900
World,2019,25800
World,2020,23500
World,2021,25000
World,2022,25600
World,2023,26000
